Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / AdWords Grouping,Google Shopping / AdWords Labels,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Price / International,Compare At Price / International,Status
wireless-bluetooth-headphones,Wireless Bluetooth Headphones,"Premium wireless headphones with active noise cancellation, 30-hour battery life, and crystal-clear sound quality. Perfect for music lovers and professionals.",Lightning Shop,Electronics,Electronics,"electronics, premium, quality",TRUE,,,,,,,WBH-001,2000,shopify,50,deny,manual,89.99,129.99,TRUE,TRUE,,https://images.unsplash.com/photo-1505740420928-5e560c06d30e?w=800&h=600&fit=crop,1,Wireless Bluetooth Headphones - Image 1,FALSE,,"Premium wireless headphones with active noise cancellation, 30-hour battery life, and crystal-clear sound quality. Perfect for music lovers and professionals.",,,,,,,,,,,,,,,kg,,,,,active
smart-fitness-watch,Smart Fitness Watch,"Advanced fitness tracking with heart rate monitoring, GPS, sleep tracking, and 7-day battery life. Your perfect workout companion.",Lightning Shop,Electronics,Electronics,"electronics, premium, quality",TRUE,,,,,,,SFW-002,5000,shopify,75,deny,manual,129.99,179.99,TRUE,TRUE,,https://images.unsplash.com/photo-1551698618-1dfe5d97d256?w=800&h=600&fit=crop,1,Smart Fitness Watch - Image 1,FALSE,,"Advanced fitness tracking with heart rate monitoring, GPS, sleep tracking, and 7-day battery life. Your perfect workout companion.",,,,,,,,,,,,,,,kg,,,,,active
wireless-charging-pad,Wireless Charging Pad,Fast wireless charging pad compatible with all Qi-enabled devices. Sleek design with LED indicator and safety protection.,Lightning Shop,Electronics,Electronics,"electronics, premium, quality",TRUE,,,,,,,WCP-003,3000,shopify,100,deny,manual,29.99,49.99,TRUE,TRUE,,https://images.unsplash.com/photo-1523275335684-37898b6baf30?w=800&h=600&fit=crop,1,Wireless Charging Pad - Image 1,FALSE,,Fast wireless charging pad compatible with all Qi-enabled devices. Sleek design with LED indicator and safety protection.,,,,,,,,,,,,,,,kg,,,,,active
bluetooth-speaker,Bluetooth Speaker,"Portable Bluetooth speaker with 360-degree sound, waterproof design, and 12-hour battery life. Perfect for outdoor adventures.",Lightning Shop,Electronics,Electronics,"electronics, premium, quality",TRUE,,,,,,,BTS-004,2000,shopify,60,deny,manual,49.99,79.99,TRUE,TRUE,,https://images.unsplash.com/photo-1523275335684-37898b6baf30?w=800&h=600&fit=crop,1,Bluetooth Speaker - Image 1,FALSE,,"Portable Bluetooth speaker with 360-degree sound, waterproof design, and 12-hour battery life. Perfect for outdoor adventures.",,,,,,,,,,,,,,,kg,,,,,active
usb-c-hub,USB-C Hub,"Multi-port USB-C hub with HDMI, USB 3.0, SD card reader, and power delivery. Essential for modern laptops.",Lightning Shop,Electronics,Electronics,"electronics, premium, quality",TRUE,,,,,,,UCH-005,1000,shopify,80,deny,manual,39.99,59.99,TRUE,TRUE,,https://images.unsplash.com/photo-1551698618-1dfe5d97d256?w=800&h=600&fit=crop,1,USB-C Hub - Image 1,FALSE,,"Multi-port USB-C hub with HDMI, USB 3.0, SD card reader, and power delivery. Essential for modern laptops.",,,,,,,,,,,,,,,kg,,,,,active
gaming-mouse,Gaming Mouse,"High-precision gaming mouse with RGB lighting, programmable buttons, and 16000 DPI sensor. Built for competitive gaming.",Lightning Shop,Electronics,Electronics,"electronics, premium, quality",TRUE,,,,,,,GM-006,5000,shopify,45,deny,manual,69.99,99.99,TRUE,TRUE,,https://images.unsplash.com/photo-1551698618-1dfe5d97d256?w=800&h=600&fit=crop,1,Gaming Mouse - Image 1,FALSE,,"High-precision gaming mouse with RGB lighting, programmable buttons, and 16000 DPI sensor. Built for competitive gaming.",,,,,,,,,,,,,,,kg,,,,,active
mechanical-keyboard,Mechanical Keyboard,"Premium mechanical keyboard with Cherry MX switches, RGB backlighting, and aluminum frame. Perfect for typing and gaming.",Lightning Shop,Electronics,Electronics,"electronics, premium, quality",TRUE,,,,,,,MK-007,2000,shopify,35,deny,manual,89.99,129.99,TRUE,TRUE,,https://images.unsplash.com/photo-1505740420928-5e560c06d30e?w=800&h=600&fit=crop,1,Mechanical Keyboard - Image 1,FALSE,,"Premium mechanical keyboard with Cherry MX switches, RGB backlighting, and aluminum frame. Perfect for typing and gaming.",,,,,,,,,,,,,,,kg,,,,,active
webcam-hd,Webcam HD,"1080p HD webcam with auto-focus, built-in microphone, and privacy shutter. Ideal for video calls and streaming.",Lightning Shop,Electronics,Electronics,"electronics, premium, quality",TRUE,,,,,,,WH-008,4000,shopify,70,deny,manual,59.99,89.99,TRUE,TRUE,,https://images.unsplash.com/photo-1523275335684-37898b6baf30?w=800&h=600&fit=crop,1,Webcam HD - Image 1,FALSE,,"1080p HD webcam with auto-focus, built-in microphone, and privacy shutter. Ideal for video calls and streaming.",,,,,,,,,,,,,,,kg,,,,,active
power-bank-20000mah,Power Bank 20000mAh,"High-capacity power bank with fast charging, multiple ports, and LED display. Keep your devices powered all day.",Lightning Shop,Electronics,Electronics,"electronics, premium, quality",TRUE,,,,,,,PB-009,5000,shopify,90,deny,manual,39.99,59.99,TRUE,TRUE,,https://images.unsplash.com/photo-1572569511254-d8f925fe2cbb?w=800&h=600&fit=crop,1,Power Bank 20000mAh - Image 1,FALSE,,"High-capacity power bank with fast charging, multiple ports, and LED display. Keep your devices powered all day.",,,,,,,,,,,,,,,kg,,,,,active
tablet-stand,Tablet Stand,"Adjustable tablet stand with multiple viewing angles, foldable design, and anti-slip base. Perfect for work and entertainment.",Lightning Shop,Electronics,Electronics,"electronics, premium, quality",TRUE,,,,,,,TS-010,4000,shopify,120,deny,manual,19.99,29.99,TRUE,TRUE,,https://images.unsplash.com/photo-1523275335684-37898b6baf30?w=800&h=600&fit=crop,1,Tablet Stand - Image 1,FALSE,,"Adjustable tablet stand with multiple viewing angles, foldable design, and anti-slip base. Perfect for work and entertainment.",,,,,,,,,,,,,,,kg,,,,,active
